UID        PID  PPID  C STIME TTY          TIME CMD
root      1230   679  0 15:49 ?        00:00:00 /usr/lib/x86_64-linux-gnu/sddm/sddm-helper --socket /tmp/sddm-authef8b110f-3d8c-4bbb-900e-de6aadf96e52 --id 1 --start env LXQT_DEFAULT_OPENBOX_CONFIG="/etc/xdg/xdg-Lubuntu/openbox/lxqt-rc.xml" /usr/bin/startlxqt --user contiki
contiki   1238     1  0 15:49 ?        00:00:00 /lib/systemd/systemd --user
contiki   1239  1238  0 15:49 ?        00:00:00 (sd-pam)
contiki   1271  1238  0 15:49 ?        00:00:01 /usr/bin/pulseaudio --daemonize=no
contiki   1277  1230  0 15:49 ?        00:00:00 lxqt-session
contiki   1280  1238  0 15:49 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
contiki   1321  1277  0 15:49 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env LXQT_DEFAULT_OPENBOX_CONFIG=/etc/xdg/xdg-Lubuntu/openbox/lxqt-rc.xml /usr/bin/startlxqt
contiki   1339  1277  0 15:49 ?        00:00:02 /usr/bin/openbox --config-file /home/contiki/.config/openbox/lxqt-rc.xml
contiki   1342     1  0 15:49 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
contiki   1344     1  0 15:49 ?        00:00:00 /usr/lib/geoclue-2.0/demos/agent
contiki   1349  1342  0 15:49 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
contiki   1352  1277  0 15:49 ?        00:00:09 /usr/bin/pcmanfm-qt --desktop --profile=lxqt
contiki   1353  1277  0 15:49 ?        00:00:00 /usr/bin/lxqt-globalkeysd
contiki   1354  1277  0 15:49 ?        00:00:00 /usr/bin/lxqt-notificationd
contiki   1355  1277  0 15:49 ?        00:00:10 /usr/bin/lxqt-panel
contiki   1356  1277  0 15:49 ?        00:00:00 /usr/bin/lxqt-policykit-agent
contiki   1357  1277  0 15:49 ?        00:00:00 /usr/bin/lxqt-runner
contiki   1359     1  0 15:49 ?        00:00:02 /usr/bin/xscreensaver -no-splash
contiki   1362     1  0 15:49 ?        00:00:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
contiki   1391  1238  0 15:49 ?        00:00:00 /usr/lib/gvfs/gvfsd
contiki   1418  1238  0 15:49 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
contiki   1419  1391  0 15:49 ?        00:00:03 /usr/lib/gvfs/gvfsd-trash --spawner :1.12 /org/gtk/gvfs/exec_spaw/0
contiki   1431  1238  0 15:49 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
contiki   1436  1238  0 15:49 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
contiki   1440  1238  0 15:49 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
contiki   1445  1238  0 15:49 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
contiki   1449  1238  0 15:49 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
root      1459     1  0 15:49 ?        00:00:00 /usr/lib/upower/upowerd
contiki   1490  1277  0 15:49 ?        00:00:00 /usr/bin/lxqt-powermanagement
contiki   1492     1  0 15:49 ?        00:00:00 /usr/bin/qlipper
contiki   1494     1  0 15:49 ?        00:00:00 /usr/bin/nm-tray
contiki   2624     1  0 16:57 ?        00:00:18 /usr/bin/qterminal
root      3223     2  0 17:33 ?        00:00:02 [kworker/0:2-events]
root      3256     2  0 18:07 ?        00:00:00 [kworker/u2:0-events_power_efficient]
contiki   3279  2624  0 18:11 pts/1    00:00:00 /bin/bash
contiki   3325     1  2 18:18 ?        00:00:36 /usr/lib/firefox/firefox
contiki   3364  3325  0 18:18 ?        00:00:03 /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 1 -prefMapSize 221402 -parentBuildID 20200720193547 -appdir /usr/lib/firefox/browser 3325 true tab
contiki   3412  3325  0 18:18 ?        00:00:01 /usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 6315 -prefMapSize 221402 -parentBuildID 20200720193547 -appdir /usr/lib/firefox/browser 3325 true tab
contiki   3445  3325  1 18:18 ?        00:00:17 /usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 6386 -prefMapSize 221402 -parentBuildID 20200720193547 -appdir /usr/lib/firefox/browser 3325 true tab
contiki   3473  3325  0 18:18 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 7151 -prefMapSize 221402 -parentBuildID 20200720193547 -appdir /usr/lib/firefox/browser 3325 true tab
contiki   3511  1391  0 18:19 ?        00:00:00 /usr/lib/gvfs/gvfsd-network --spawner :1.12 /org/gtk/gvfs/exec_spaw/1
contiki   3524  1238  0 18:19 ?        00:00:00 /usr/lib/dconf/dconf-service
contiki   3532  1391  0 18:20 ?        00:00:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.12 /org/gtk/gvfs/exec_spaw/3
contiki   3610     1  0 18:24 ?        00:00:00 featherpad /home/contiki/geral.txt
root      3666     2  0 18:29 ?        00:00:00 [kworker/u2:1-events_power_efficient]
root      3684     2  0 18:34 ?        00:00:00 [kworker/0:1-events]
root      3699     2  0 18:44 ?        00:00:00 [kworker/u2:2-events_unbound]
contiki   3704  3279  0 18:44 pts/1    00:00:00 more
contiki   3706  2624  0 18:45 pts/0    00:00:00 /bin/bash
contiki   3714  3706  0 18:46 pts/0    00:00:00 ps -ef
contiki   3715  3706  0 18:46 pts/0    00:00:00 more
